movie_name,genre,rating,year,storyline,cleaned_storyline,cleaned_genre,text_features
1. Dune: Part Two,unknown,8.4,2024,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",paul atreides unites fremen warpath revenge conspirators destroyed family facing choice love life fate universe endeavors prevent terrible future,unknown,paul atreides unites fremen warpath revenge conspirators destroyed family facing choice love life fate universe endeavors prevent terrible future unknown
2. Anora,unknown,7.4,2024,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",young stripper brooklyn meets impulsively marries son russian oligarch news reaches russia fairy tale threatened parents set new york get marriage annulled,unknown,young stripper brooklyn meets impulsively marries son russian oligarch news reaches russia fairy tale threatened parents set new york get marriage annulled unknown
3. Gaslit by My Husband: The Morgan Metzer Story,unknown,5.9,2024,"Morgan's ex-husband Rodney shows up minutes after a masked intruder has assaulted her in her home. Rodney's answers to the authorities' questions don't seem to add up, which makes him the prime suspect in the attack. Based on a true story.",morgan ex husband rodney shows minutes masked intruder assaulted home rodney answers authorities questions seem add makes prime suspect attack based true story,unknown,morgan ex husband rodney shows minutes masked intruder assaulted home rodney answers authorities questions seem add makes prime suspect attack based true story unknown
4. The Substance,unknown,7.2,2024,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",fading celebrity takes black market drug cell replicating substance helps create younger better version,unknown,fading celebrity takes black market drug cell replicating substance helps create younger better version unknown
5. The Life of Chuck,unknown,7.3,2024,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",life affirming genre bending story three chapters life ordinary man named charles krantz,unknown,life affirming genre bending story three chapters life ordinary man named charles krantz unknown
6. The Fall Guy,unknown,6.8,2024,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",stuntman fresh almost career ending accident track missing movie star solve conspiracy try win back love life still day job,unknown,stuntman fresh almost career ending accident track missing movie star solve conspiracy try win back love life still day job unknown
7. Wicked,unknown,7.3,2024,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",elphaba young woman ridiculed green skin galinda popular girl become friends shiz university land oz encounter wonderful wizard oz friendship reaches crossroads,unknown,elphaba young woman ridiculed green skin galinda popular girl become friends shiz university land oz encounter wonderful wizard oz friendship reaches crossroads unknown
8. The Ministry of Ungentlemanly Warfare,unknown,6.8,2024,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,british military recruits small group highly skilled soldiers strike german forces behind enemy lines world war ii,unknown,british military recruits small group highly skilled soldiers strike german forces behind enemy lines world war ii unknown
9. Civil War,unknown,7.0,2024,"In the midst of a U.S. civil war, four reporters make the dangerous trip to the capital to interview the president before he is overthrown.",midst u civil war four reporters make dangerous trip capital interview president overthrown,unknown,midst u civil war four reporters make dangerous trip capital interview president overthrown unknown
10. Road House,unknown,6.2,2024,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",ex ufc fighter dalton takes job bouncer florida keys roadhouse discover paradise seems,unknown,ex ufc fighter dalton takes job bouncer florida keys roadhouse discover paradise seems unknown
11. Relay,unknown,7.0,2024,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.,broker lucrative payoffs corrupt corporations individuals threaten breaks rules new client seeks protection stay alive,unknown,broker lucrative payoffs corrupt corporations individuals threaten breaks rules new client seeks protection stay alive unknown
12. Agent Recon,unknown,2.4,2024,"Alastair, the captain of a covert Earth security force, calls in super-powered rookie Jim to join a mission led by Colonel Green and his skilled Marines to track down a mysterious energy disturbance at a base in New Mexico.",alastair captain covert earth security force calls super powered rookie jim join mission led colonel green skilled marines track mysterious energy disturbance base new mexico,unknown,alastair captain covert earth security force calls super powered rookie jim join mission led colonel green skilled marines track mysterious energy disturbance base new mexico unknown
13. Heretic,unknown,7.0,2024,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,two young religious women drawn game cat mouse house strange man,unknown,two young religious women drawn game cat mouse house strange man unknown
14. We Bury the Dead,unknown,5.6,2024,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",catastrophic military disaster dead rise hunt ava searches missing husband finds far terrifying,unknown,catastrophic military disaster dead rise hunt ava searches missing husband finds far terrifying unknown
