movie_name,genre,rating,year,storyline
1. Dune: Part Two,NA,8.4,2024,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
2. Anora,NA,7.4,2024,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled."
3. Gaslit by My Husband: The Morgan Metzer Story,NA,5.9,2024,"Morgan's ex-husband Rodney shows up minutes after a masked intruder has assaulted her in her home. Rodney's answers to the authorities' questions don't seem to add up, which makes him the prime suspect in the attack. Based on a true story."
4. The Substance,NA,7.2,2024,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself."
5. The Life of Chuck,NA,7.3,2024,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz."
6. The Fall Guy,NA,6.8,2024,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
7. Wicked,NA,7.3,2024,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads."
8. The Ministry of Ungentlemanly Warfare,NA,6.8,2024,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
9. Civil War,NA,7.0,2024,"In the midst of a U.S. civil war, four reporters make the dangerous trip to the capital to interview the president before he is overthrown."
10. Road House,NA,6.2,2024,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
11. Relay,NA,7.0,2024,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.
12. Agent Recon,NA,2.4,2024,"Alastair, the captain of a covert Earth security force, calls in super-powered rookie Jim to join a mission led by Colonel Green and his skilled Marines to track down a mysterious energy disturbance at a base in New Mexico."
13. Heretic,NA,7.0,2024,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.
14. We Bury the Dead,NA,5.6,2024,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying."
15. The Brutalist,NA,7.2,2024,A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.
16. The Dæmon,NA,6.5,2024,"Tom flees to his father's lakeside cottage after his suicide, where childhood memories and an ancient evil beneath the lake push him toward madness. His wife Kathy, her brother Mark, and his wife Jess try to save him."
17. Deadpool & Wolverine,NA,7.5,2024,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
18. The Wild Robot,NA,8.2,2024,A sentient robot stranded on an uninhabited island raises an orphaned gosling while trying to fit in with the local wildlife.
19. Abigail,NA,6.5,2024,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
20. Kraven the Hunter,NA,5.5,2024,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared."
21. Gladiator II,NA,6.5,2024,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people."
22. A Complete Unknown,NA,7.3,2024,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world."
23. Eden,NA,6.5,2024,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other."
24. Babygirl,NA,5.8,2024,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
25. Bad Boys: Ride or Die,NA,6.5,2024,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name."
26. Nosferatu,NA,7.1,2024,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
27. The Order,NA,6.8,2024,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.
28. Blink Twice,NA,6.5,2024,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality."
29. Kinds of Kindness,NA,6.4,2024,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide."
30. Longlegs,NA,6.5,2024,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
31. Conclave,NA,7.4,2024,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church."
32. Trap,NA,5.8,2024,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.
33. The Beekeeper,NA,6.3,2024,A former operative of a powerful organization embarks on a brutal campaign for vengeance.
34. Challengers,NA,7.0,2024,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend."
35. Speak No Evil,NA,6.8,2024,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."
36. It Ends with Us,NA,6.3,2024,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future."
37. Venom: The Last Dance,NA,6.0,2024,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.
38. Smile 2,NA,6.7,2024,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past."
39. Bone Lake,NA,5.6,2024,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival."
40. Small Things Like These,NA,6.7,2024,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
41. I'm Still Here,NA,8.1,2024,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
42. Furiosa: A Mad Max Saga,NA,7.5,2024,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home."
43. Twisters,NA,6.5,2024,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies."
44. Alien: Romulus,NA,7.1,2024,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
45. Wolfs,NA,6.5,2024,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job."
46. Sonic the Hedgehog 3,NA,6.9,2024,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance."
47. Joker: Folie à Deux,NA,5.2,2024,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital."
48. A Quiet Place: Day One,NA,6.3,2024,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
49. A Different Man,NA,6.9,2024,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
50. Parthenope,NA,6.5,2024,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters."
